observation,phase,pr_auc,roc_auc,f1,vuln_score,state,metamorphosis_count
5000,Normal,0.8142,0.9731,0.8696,0.0000,Normal,0
10000,Drift,0.9444,0.9998,0.6667,0.2710,Normal,0
15000,Drift,0.9833,1.0000,0.8696,0.3902,Normal,0
20000,Drift,0.7112,0.8774,0.7778,0.4265,Normal,0
25000,Drift,0.8690,0.9978,0.8000,0.4855,Normal,0
30000,Drift,0.9945,1.0000,0.8966,0.5573,Normal,0
35000,Drift,0.6561,0.9225,0.7059,0.5112,Normal,0
40000,Drift,1.0000,1.0000,0.8889,0.6592,Normal,0
45000,Drift,0.8865,0.9959,0.8421,0.5938,Normal,0
50000,Drift,0.8526,0.9994,0.8000,0.5427,Normal,0
55000,Drift,0.8875,0.9999,0.5000,0.5290,Normal,0
56962,Drift,1.0000,1.0000,1.0000,0.4679,Normal,0
